timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618218129620,14537,Create Genre,201,,Load test Thread Group 1-29,text,true,,368,367,448,448,http://localhost:8082/genres/create,14537,0,0
1618218128958,15325,Read Genres,200,,Load test Thread Group 1-237,text,true,,101020,221,448,448,http://localhost:8082/genres/read/,15324,0,0
1618218129728,14555,Read Tracks,200,,Load test Thread Group 1-31,text,true,,422,233,448,448,http://localhost:8082/tracks/read/playlist/391,14555,0,0
1618218129836,14447,Read Tracks,200,,Load test Thread Group 1-27,text,true,,353,232,448,448,http://localhost:8082/tracks/read/playlist/61,14447,0,0
1618218129899,14384,Read Artist,200,,Load test Thread Group 1-410,text,true,,317,228,448,448,http://localhost:8082/artists/read/id/996,14384,0,0
1618218136923,7361,Website request,200,,Load test Thread Group 1-453,text,true,,7645,209,447,447,http://localhost:8082/,7361,0,0
1618218136877,7407,Website request,200,,Load test Thread Group 1-121,text,true,,7645,209,447,447,http://localhost:8082/,7407,0,0
1618218128788,15521,Read Genres,200,,Load test Thread Group 1-38,text,true,,101020,221,446,446,http://localhost:8082/genres/read/,15520,0,0
1618218129035,15331,Read Genres,200,,Load test Thread Group 1-431,text,true,,101020,221,446,446,http://localhost:8082/genres/read/,15330,0,0
1618218129914,14601,Read Playlists,200,,Load test Thread Group 1-429,text,true,,56973,224,445,445,http://localhost:8082/playlists/read/,14600,0,0
1618218129914,14603,Create Genre,201,,Load test Thread Group 1-26,text,true,,368,367,444,444,http://localhost:8082/genres/create,14602,0,0
1618218129914,14604,Create Track,201,,Load test Thread Group 1-234,text,true,,426,436,444,444,http://localhost:8082/tracks/create,14604,0,0
1618218137015,7505,Website request,200,,Load test Thread Group 1-451,text,true,,7645,209,444,444,http://localhost:8082/,7505,0,0
1618218137015,7506,Website request,200,,Load test Thread Group 1-473,text,true,,7645,209,443,443,http://localhost:8082/,7506,0,0
1618218129914,14683,Read Tracks,200,,Load test Thread Group 1-496,text,true,,365,233,442,442,http://localhost:8082/tracks/read/playlist/303,14683,0,0
1618218129914,14683,Read Playlist,200,,Load test Thread Group 1-330,text,true,,56973,224,442,442,http://localhost:8082/playlists/read/,14682,0,0
1618218130037,14573,Read Tracks,200,,Load test Thread Group 1-335,text,true,,423,233,441,441,http://localhost:8082/tracks/read/playlist/255,14573,0,0
1618218130037,14575,Read Tracks,200,,Load test Thread Group 1-233,text,true,,363270,221,441,441,http://localhost:8082/tracks/read/,14570,0,0
1618218137031,7581,Website request,200,,Load test Thread Group 1-140,text,true,,7645,209,441,441,http://localhost:8082/,7581,0,0
1618218137031,7582,Website request,200,,Load test Thread Group 1-117,text,true,,7645,209,441,441,http://localhost:8082/,7582,0,0
1618218137047,7567,Website request,200,,Load test Thread Group 1-119,text,true,,7645,209,441,441,http://localhost:8082/,7567,0,0
1618218130099,14674,Read Tracks,200,,Load test Thread Group 1-426,text,true,,387,233,441,441,http://localhost:8082/tracks/read/playlist/219,14674,0,0
1618218130115,14658,Read Tracks,200,,Load test Thread Group 1-19,text,true,,384,232,441,441,http://localhost:8082/tracks/read/playlist/86,14658,0,0
1618218129914,14858,Read Playlist,200,,Load test Thread Group 1-475,text,true,,56973,224,441,441,http://localhost:8082/playlists/read/,14858,0,0
1618218130053,14763,Read Playlist,200,,Load test Thread Group 1-398,text,true,,56973,224,439,439,http://localhost:8082/playlists/read/,14762,0,0
1618218130115,14703,Create Album,201,,Load test Thread Group 1-483,text,true,,427,432,438,438,http://localhost:8082/albums/create,14703,0,0
1618218137140,7680,Website request,200,,Load test Thread Group 1-438,text,true,,7645,209,437,437,http://localhost:8082/,7680,0,0
1618218129406,15416,Read Genres,200,,Load test Thread Group 1-32,text,true,,101020,221,436,436,http://localhost:8082/genres/read/,15415,0,0
1618218130115,14707,Read Tracks,200,,Load test Thread Group 1-22,text,true,,365,233,436,436,http://localhost:8082/tracks/read/playlist/303,14707,0,0
1618218137216,7608,Website request,200,,Load test Thread Group 1-170,text,true,,7645,209,436,436,http://localhost:8082/,7608,0,1
1618218130115,14718,Read Tracks,200,,Load test Thread Group 1-24,text,true,,363273,221,436,436,http://localhost:8082/tracks/read/,14714,0,0
1618218130254,14580,Read Tracks,200,,Load test Thread Group 1-21,text,true,,363273,221,436,436,http://localhost:8082/tracks/read/,14578,0,0
1618218129728,15133,Read Genres,200,,Load test Thread Group 1-28,text,true,,101020,221,436,436,http://localhost:8082/genres/read/,15132,0,0
1618218130254,14607,Read Tracks,200,,Load test Thread Group 1-20,text,true,,410,233,436,436,http://localhost:8082/tracks/read/playlist/282,14607,0,0
1618218130115,14905,Read Playlists,200,,Load test Thread Group 1-23,text,true,,56973,224,436,436,http://localhost:8082/playlists/read/,14904,0,0
1618218137897,7124,Website request,200,,Load test Thread Group 1-110,text,true,,7645,209,436,436,http://localhost:8082/,7124,0,1
1618218137897,7125,Website request,200,,Load test Thread Group 1-114,text,true,,7645,209,436,436,http://localhost:8082/,7125,0,1
1618218130254,14800,Read Playlist,200,,Load test Thread Group 1-424,text,true,,56973,224,436,436,http://localhost:8082/playlists/read/,14800,0,0
1618218130332,14778,Read Tracks,200,,Load test Thread Group 1-357,text,true,,405,233,435,435,http://localhost:8082/tracks/read/playlist/368,14778,0,0
1618218128494,16616,Read Albums,200,,Load test Thread Group 1-47,text,true,,122278,221,435,435,http://localhost:8082/albums/read/,16615,0,0
1618218138113,6998,Website request,200,,Load test Thread Group 1-297,text,true,,7645,209,434,434,http://localhost:8082/,6998,0,0
1618218137990,7121,Website request,200,,Load test Thread Group 1-304,text,true,,7645,209,434,434,http://localhost:8082/,7121,0,0
1618218129728,15435,Read Artists,200,,Load test Thread Group 1-439,text,true,,63031,222,434,434,http://localhost:8082/artists/read/,15434,0,0
1618218130347,14816,Read Tracks,200,,Load test Thread Group 1-467,text,true,,411,233,434,434,http://localhost:8082/tracks/read/playlist/316,14816,0,0
1618218130269,14995,Read Playlist,200,,Load test Thread Group 1-470,text,true,,56973,224,432,432,http://localhost:8082/playlists/read/,14994,0,0
1618218138283,6982,Website request,200,,Load test Thread Group 1-452,text,true,,7645,209,432,432,http://localhost:8082/,6982,0,1
1618218130502,14764,Read Tracks,200,,Load test Thread Group 1-471,text,true,,414,232,430,430,http://localhost:8082/tracks/read/playlist/99,14764,0,0
1618218130269,14997,Read Playlist,200,,Load test Thread Group 1-365,text,true,,56973,224,430,430,http://localhost:8082/playlists/read/,14996,0,0
1618218138394,6874,Website request,200,,Load test Thread Group 1-310,text,true,,7645,209,428,428,http://localhost:8082/,6874,0,0
1618218130563,14705,Create Artist,201,,Load test Thread Group 1-232,text,true,,344,334,428,428,http://localhost:8082/artists/create,14705,0,0
